aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_가격,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,현재 날짜
  82    ,레이디 크레딧,김주희 (지은이) , 현실문화연구 ,2020-08-01,15400,4.5,사회과학,인문,2023-02-23
  83    ,중국의 통치 체제 1,조영남 (지은이) , 21세기북스 ,2022-10-01,31840,5.0,사회과학,인문,2023-02-23
  84    ,함께 읽는 민법 : 채권각론편,김삼연 (지은이) , 도서출판 시우 ,2015-09-01,3900,0.0,사회과학,인문,2023-02-23
  85    ,불쉿 잡,"데이비드 그레이버 (지은이), 김병화 (옮긴이) ", 민음사 ,2022-03-01,15400,3.5,사회과학,인문,2023-02-23
  86    ,낙인찍힌 몸,염운옥 (지은이) , 돌베개 ,2019-09-01,14000,4.5,사회과학,인문,2023-02-23
  87    ,경계선 지능 아동의 정서사회성,"정하나, 유선미, 김지연 (지은이) ", 이담북스 ,2021-11-01,11200,5.0,사회과학,인문,2023-02-23
  88    ,판사유감,문유석 (지은이) , 문학동네 ,2021-10-01,11000,4.0,사회과학,인문,2023-02-23
  89    ,납치된 도시에서 길찾기,전현우 (지은이) , 민음사 ,2022-12-01,11900,5.0,사회과학,인문,2023-02-23
  90    ,나는 옐로에 화이트에 약간 블루 2,"브래디 미카코 (지은이), 김영현 (옮긴이) ", 다다서재 ,2022-09-01,9800,5.0,사회과학,인문,2023-02-23
  91    ,어떤 양형 이유,박주영 (지은이) , 모로 ,2023-01-01,12000,0.0,사회과학,인문,2023-02-23
  92    ,오롯한 당신,"김승섭, 박주영, 이혜민, 이호림, 최보경, 레인보우 커넥션 프로젝트 (지은이) ", 숨쉬는책공장 ,2019-12-01,10500,5.0,사회과학,인문,2023-02-23
  93    ,한 번은 불러보았다,정회옥 (지은이) , 위즈덤하우스 ,2022-10-01,11900,4.5,사회과학,인문,2023-02-23
  94    ,왜 여성은 사회주의사회에서 더 나은 섹스를 하는가,"크리스틴 R. 고드시 (지은이), 김희연 (옮긴이) ", 이학사 ,2021-11-01,12600,5.0,사회과학,인문,2023-02-23
  95    ,프로메테우스의 금속,"기욤 피트롱 (지은이), 양영란 (옮긴이) ", 갈라파고스 ,2021-06-01,11550,5.0,사회과학,인문,2023-02-23
  96    ,자유주의,"에드먼드 포셋 (지은이), 신재성 (옮긴이) ", 글항아리 ,2022-12-01,33800,5.0,사회과학,인문,2023-02-23
  97    ,붉은 선,홍승희 (지은이) , 글항아리 ,2017-10-01,11300,3.5,사회과학,인문,2023-02-23
  98    ,죽음의 격차,"니시오 하지메 (지은이), 송소영 (옮긴이) ", 빈티지하우스 ,2019-03-01,10500,4.0,사회과학,인문,2023-02-23
  99    ,피로사회,"한병철 (지은이), 김태환 (옮긴이) ", 문학과지성사 ,2012-03-01,8400,4.5,사회과학,인문,2023-02-23
  100    ,여자를 돕는 여자들,이혜미 (지은이) , 부키 ,2022-12-01,10500,5.0,사회과학,인문,2023-02-23
  1    ,소설가라는 이상한 직업,장강명 (지은이) , 유유히 ,2023-02-01,12600,4.5,에세이,에세이/산문,2023-02-23
  2    ,물고기는 존재하지 않는다,"룰루 밀러 (지은이), 정지인 (옮긴이) ", 곰출판 ,2022-01-01,11900,4.0,에세이,에세이/산문,2023-02-23
  3    ,인생을 숙제처럼 살지 않기로 했다,웃따(나예랑) (지은이) , 다산북스 ,2023-02-01,10710,5.0,에세이,에세이/산문,2023-02-23
  4    ,어른의 어휘 공부,신효원 (지은이) , 책장속북스 ,2022-09-01,12800,5.0,에세이,에세이/산문,2023-02-23
  5    ,인생의 역사,신형철 (지은이) , 난다 ,2022-12-01,12600,5.0,에세이,에세이/산문,2023-02-23
  6    ,불안,"알랭 드 보통 (지은이), 정영목 (옮긴이) ", 은행나무 ,2011-12-01,10500,4.5,에세이,에세이/산문,2023-02-23
  7    ,사랑은 그렇게 하는 것이 아니다,김달 (지은이) , 빅피시 ,2022-10-01,11550,5.0,에세이,에세이/산문,2023-02-23
  8    ,시간이 있었으면 좋겠다 : 삶의 여백을 사랑하는 일에 대해,김신지 (지은이) , 잠비 ,2023-02-01,10590,5.0,에세이,에세이/산문,2023-02-23
  9    ,짝 없는 여자와 도시,"비비언 고닉 (지은이), 박경선 (옮긴이) ", 글항아리 ,2023-02-01,10710,5.0,에세이,에세이/산문,2023-02-23
  10    ,"아무튼, 현수동",장강명 (지은이) , 위고 ,2023-02-01,8500,4.5,에세이,에세이/산문,2023-02-23
  11    ,제 마음대로 살아보겠습니다,이원지 (지은이) , 상상출판 ,2019-12-01,8520,5.0,에세이,에세이/산문,2023-02-23
  12    ,사람을 얻는 지혜 (스페인어 원전 완역본),"발타자르 그라시안 (지은이), 김유경 (옮긴이) ", 현대지성 ,2022-10-01,6900,5.0,에세이,에세이/산문,2023-02-23
  13    ,아주 오랜만에 행복하다는 느낌,백수린 (지은이) , 창비 ,2022-10-01,11200,5.0,에세이,에세이/산문,2023-02-23
  14    ,여행의 이유,김영하 (지은이) , 문학동네 ,2019-06-01,9500,4.0,에세이,에세이/산문,2023-02-23
  15    ,천문학자는 별을 보지 않는다,심채경 (지은이) , 문학동네 ,2021-02-01,11000,4.5,에세이,에세이/산문,2023-02-23
  16    ,나는 책을 믿었다,이영경 (지은이) , 미리내 명상책방 ,2022-12-01,5000,5.0,에세이,에세이/산문,2023-02-23
  17    ,젊은 ADHD의 슬픔,정지음 (지은이) , 민음사 ,2021-06-01,9800,4.5,에세이,에세이/산문,2023-02-23
  18    ,지금 이 순간을 살아라,"에크하르트 톨레 (지은이), 노혜숙, 유영일 (옮긴이) ", 양문 ,2014-05-01,7500,4.5,에세이,에세이/산문,2023-02-23
  19    ,나는 좌절의 스페셜리스트입니다,백혜선 (지은이) , 다산북스 ,2023-01-01,10530,5.0,에세이,에세이/산문,2023-02-23
  20    ,사랑의 기술 (개정판),"에리히 프롬 (지은이), 황문수 (옮긴이) ", 문예출판사 ,2019-09-01,8400,4.0,에세이,에세이/산문,2023-02-23
  21    ,아침의 피아노,김진영 (지은이) , 한겨레출판 ,2019-01-01,9100,4.5,에세이,에세이/산문,2023-02-23
  22    ,우리는 비슷한 얼굴을 하고서,김달님 (지은이) , 수오서재 ,2023-02-01,9000,5.0,에세이,에세이/산문,2023-02-23
  23    ,나의 아름다운 할머니,심윤경 (지은이) , 사계절 ,2022-08-01,9100,4.5,에세이,에세이/산문,2023-02-23
  24    ,자미,"오드리 로드 (지은이), 송섬별 (옮긴이) ", 디플롯 ,2023-02-01,13500,5.0,에세이,에세이/산문,2023-02-23
  25    ,기분을 관리하면 인생이 관리된다,김다슬 (지은이) , 클라우디아 ,2022-10-01,12460,4.0,에세이,에세이/산문,2023-02-23
  26    ,[세트] 현대지성 클래식 오디오북 (총10권),"발타자르 그라시안 (지은이), 김유경 (옮긴이), 박상훈 (낭독) ", 현대지성 ,2023-02-01,65900,0.0,에세이,에세이/산문,2023-02-23
  27    ,날씨와 얼굴,이슬아 (지은이) , 위고 ,2023-02-01,10800,0.0,에세이,에세이/산문,2023-02-23
  28    ,H마트에서 울다,"미셸 자우너 (지은이), 정혜윤 (옮긴이) ", 문학동네 ,2022-02-01,11200,4.5,에세이,에세이/산문,2023-02-23
  29    ,빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클 (지은이), 이시형 (옮긴이) ", 청아출판사 ,2020-07-01,7800,4.5,에세이,에세이/산문,2023-02-23
  30    ,사람을 얻는 지혜,"발타자르 그라시안 (지은이), 임정재 (옮긴이) ", 타커스(끌레마) ,2016-03-01,7590,5.0,에세이,에세이/산문,2023-02-23
  31    ,명상록 : 철학자 황제가 전쟁터에서 자신에게 쓴 일기,"마르쿠스 아우렐리우스 (지은이), 박문재 (옮긴이) ", 현대지성 ,2018-04-01,5500,4.5,에세이,에세이/산문,2023-02-23
  32    ,오늘 하지 않아도 되는 걱정은 오늘 하지 않습니다,데니스 홍 (지은이) , 인플루엔셜(주) ,2022-12-01,12000,4.5,에세이,에세이/산문,2023-02-23
  33    ,모든 것은 기본에서 시작한다,손웅정 (지은이) , 수오서재 ,2022-01-01,11200,4.5,에세이,에세이/산문,2023-02-23
  34    ,탈무드 - 더클래식 세계문학 컬렉션,"유대교 랍비 (지은이), 더클래식 편집부 (옮긴이) ", 더클래식 ,2017-08-01,990,4.0,에세이,에세이/산문,2023-02-23
  35    ,오늘은 좀 매울지도 몰라,강창래 (지은이) , 문학동네 ,2018-05-01,9000,4.5,에세이,에세이/산문,2023-02-23
  36    ,짐승일기,김지승 (지은이) , 난다 ,2022-12-01,10080,5.0,에세이,에세이/산문,2023-02-23
  37    ,소크라테스 익스프레스,"에릭 와이너 (지은이), 김하현 (옮긴이) ", 어크로스 ,2021-05-01,12500,4.5,에세이,에세이/산문,2023-02-23
  38    ,사랑한다고 상처를 허락하지 말 것,김달 (지은이) , 비에이블 ,2020-11-01,10150,4.5,에세이,에세이/산문,2023-02-23
  39    ,직업으로서의 소설가,"무라카미 하루키 (지은이), 양윤옥 (옮긴이) ", 현대문학 ,2021-04-01,10000,4.5,에세이,에세이/산문,2023-02-23
  40    ,새는 날아가면서 뒤돌아보지 않는다,류시화 (지은이) , 더숲 ,2017-02-01,9800,4.5,에세이,에세이/산문,2023-02-23
  41    ,책과 우연들,김초엽 (지은이) , 열림원 ,2022-11-01,10080,4.5,에세이,에세이/산문,2023-02-23
  42    ,저 별은 모두 당신을 위해 빛나고 있다,손힘찬(오가타 마리토) (지은이) , RISE(떠오름) ,2022-05-01,10640,5.0,에세이,에세이/산문,2023-02-23
  43    ,나의 MBTI가 궁금하단 마리몽,"김소나 (지은이), 이세진 (그림) ", 더모던 ,2022-01-01,9900,5.0,에세이,에세이/산문,2023-02-23
  44    ,지구에서 영어생활자로 살아남는 법,백애리 (지은이) , 그래도봄 ,2023-02-01,11200,5.0,에세이,에세이/산문,2023-02-23
  45    ,문학이 필요한 시간,"정여울 (지은이), 이승원 (사진) ", 한겨레출판 ,2023-01-01,12800,5.0,에세이,에세이/산문,2023-02-23
  46    ,죽기 전 시도는 해 봐야 할 10가지,이예은 (지은이) , 퍼스트클래스 ,2023-02-01,6500,5.0,에세이,에세이/산문,2023-02-23
  47    ,죽고 싶지만 떡볶이는 먹고 싶어,백세희 (지은이) , 흔 ,2018-06-01,9660,3.0,에세이,에세이/산문,2023-02-23
  48    ,슬픔을 공부하는 슬픔,신형철 (지은이) , 한겨레출판 ,2018-01-01,11200,4.5,에세이,에세이/산문,2023-02-23
  49    ,삶으로 다시 떠오르기,"에크하르트 톨레 (지은이), 류시화 (옮긴이) ", 연금술사 ,2013-08-01,12600,4.5,에세이,에세이/산문,2023-02-23
  50    ,마음이 흐르는 대로,지나영 (지은이) , 다산북스 ,2020-11-01,11200,4.5,에세이,에세이/산문,2023-02-23
  51    ,운다고 달라지는 일은 아무것도 없겠지만,박준 (지은이) , 난다 ,2017-07-01,9800,4.0,에세이,에세이/산문,2023-02-23
  52    ,마음사전,김소연 (지은이) , 마음산책 ,2013-03-01,10500,4.5,에세이,에세이/산문,2023-02-23
  53    ,시지프 신화,"알베르 카뮈 (지은이), 김화영 (옮긴이) ", 민음사 ,2021-01-01,8400,4.0,에세이,에세이/산문,2023-02-23
  54    ,일간 이슬아 수필집,이슬아 (지은이) , 헤엄 ,2018-10-01,12000,4.5,에세이,에세이/산문,2023-02-23
  55    ,당신은 결국 무엇이든 해내는 사람,김상현 (지은이) , 필름(Feelm) ,2022-05-01,10500,4.5,에세이,에세이/산문,2023-02-23
  56    ,사건,"아니 에르노 (지은이), 윤석헌 (옮긴이) ", 민음사 ,2019-12-01,7500,4.5,에세이,에세이/산문,2023-02-23
  57    ,자기신뢰,"랄프 왈도 에머슨 (지은이), 이종인 (옮긴이) ", 현대지성 ,2021-03-01,7900,4.5,에세이,에세이/산문,2023-02-23
  58    ,모국어는 차라리 침묵,목정원 (지은이) , 아침달 ,2022-06-01,13000,4.5,에세이,에세이/산문,2023-02-23
  59    ,따님이 기가 세요,하말넘많 (지은이) , 포르체 ,2021-05-01,10500,5.0,에세이,에세이/산문,2023-02-23
  60    ,어른의 중력,"사티아 도일 바이오크 (지은이), 임슬애 (옮긴이) ", 윌북 ,2022-12-01,11900,4.5,에세이,에세이/산문,2023-02-23
  61    ,모리와 함께한 화요일,"미치 앨봄, 모리 슈워츠 (지은이), 공경희 (옮긴이) ", 살림 ,2013-05-01,8400,4.5,에세이,에세이/산문,2023-02-23
  62    ,축구를 하며 생각한 것들,손흥민 (지은이) , 브레인스토어 ,2022-11-01,12600,4.5,에세이,에세이/산문,2023-02-23
  63    ,잘해봐야 시체가 되겠지만,"케이틀린 도티 (지은이), 임희근 (옮긴이) ", 반비 ,2020-03-01,12600,4.0,에세이,에세이/산문,2023-02-23
  64    ,기이한 것과 으스스한 것,"마크 피셔 (지은이), 안현주 (옮긴이) ", 구픽 ,2019-08-01,9100,0.0,에세이,에세이/산문,2023-02-23
  65    ,사실은 사랑받고 싶었어,"박재연 (지은이), 박성혜 (그림) ", 한빛라이프 ,2021-03-01,10620,5.0,에세이,에세이/산문,2023-02-23
  66    ,쓰는 직업,곽아람 (지은이) , 마음산책 ,2023-01-01,10100,4.0,에세이,에세이/산문,2023-02-23
  67    ,에피쿠로스 쾌락 (그리스어 원전 완역본),"에피쿠로스 (지은이), 박문재 (옮긴이) ", 현대지성 ,2022-12-01,6600,5.0,에세이,에세이/산문,2023-02-23
  68    ,쇼펜하우어 명언집,이영진 (지은이) , 유페이퍼 ,2020-02-01,600,0.0,에세이,에세이/산문,2023-02-23
  69    ,모든 것이 산산이 무너질 때 : 희망과 두려움을 걷어내고 삶의 맨 얼굴과 직면하는 22가지 지혜,"페마 초드론 (지은이), 구승준 (옮긴이) ", 한문화 ,2019-06-01,9800,5.0,에세이,에세이/산문,2023-02-23
  70    ,작가의 루틴 : 소설 쓰는 하루,"김중혁, 박솔뫼, 범유진 (지은이) ", &(앤드) ,2023-01-01,10500,5.0,에세이,에세이/산문,2023-02-23
  71    ,"제가 한번 해보았습니다, 남기자의 체헐리즘",남형도 (지은이) , 김영사 ,2020-06-01,9450,5.0,에세이,에세이/산문,2023-02-23
  72    ,이별의 푸가,김진영 (지은이) , 한겨레출판 ,2019-10-01,9800,4.5,에세이,에세이/산문,2023-02-23
  73    ,만지고 싶은 기분,요조 (Yozoh) (지은이) , 마음산책 ,2023-01-01,10500,4.5,에세이,에세이/산문,2023-02-23
  74    ,내 아이의 7가지 세계,김수현 (지은이) , 퍼스트클래스 ,2023-02-01,5500,0.0,에세이,에세이/산문,2023-02-23
  75    ,끈기의 말들,강민선 (지은이) , 유유 ,2023-02-01,9800,0.0,에세이,에세이/산문,2023-02-23
  76    ,걸어서 저를 만나러 가는 중 입니다,임대영 (지은이) , 퍼스트클래스 ,2023-02-01,8900,0.0,에세이,에세이/산문,2023-02-23
  77    ,대화의 밀도,류재언 (지은이) , 라이프레코드 ,2023-01-01,12600,5.0,에세이,에세이/산문,2023-02-23
  78    ,박물관을 쓰는 직업,신지은 (지은이) , 마음산책 ,2022-11-01,10500,5.0,에세이,에세이/산문,2023-02-23
  79    ,헨리에타 랙스의 불멸의 삶,"레베카 스클루트 (지은이), 김정한, 김정부 (옮긴이) ", 꿈꿀자유 ,2023-02-01,18000,0.0,에세이,에세이/산문,2023-02-23
  80    ,어린이라는 세계,김소영 (지은이) , 사계절 ,2020-11-01,10500,4.5,에세이,에세이/산문,2023-02-23
  81    ,진짜 게으른 사람이 쓴 게으름 탈출법,지이 (지은이) , 마인드빌딩 ,2020-02-01,9000,4.5,에세이,에세이/산문,2023-02-23
  82    ,소비단식 일기,서박하 (지은이) , 휴머니스트 ,2022-08-01,11200,3.5,에세이,에세이/산문,2023-02-23
  83    ,여자 둘이 살고 있습니다,"황선우, 김하나 (지은이) ", 위즈덤하우스 ,2019-02-01,10360,4.5,에세이,에세이/산문,2023-02-23
  84    ,숨결이 바람 될 때,"폴 칼라니티 (지은이), 이종인 (옮긴이) ", 흐름출판 ,2016-08-01,11200,4.5,에세이,에세이/산문,2023-02-23
  85    ,죽은 자의 집 청소,김완 (지은이) , 김영사 ,2020-06-01,8640,4.5,에세이,에세이/산문,2023-02-23
  86    ,상처 받지 않는 영혼,"마이클 싱어 (지은이), 이균형 (옮긴이), 성해영 (감수) ", 라이팅하우스 ,2014-11-01,9450,4.5,에세이,에세이/산문,2023-02-23
  87    ,월든 (한글+영문판),"헨리 데이비드 소로 (지은이), 전행선 (옮긴이) ", 더클래식 ,2013-06-01,1500,5.0,에세이,에세이/산문,2023-02-23
  88    ,일기 日記,황정은 (지은이) , 창비 ,2021-10-01,9800,4.5,에세이,에세이/산문,2023-02-23
  89    ,정확한 사랑의 실험,신형철 (지은이) , 마음산책 ,2014-10-01,9100,4.5,에세이,에세이/산문,2023-02-23
  90    ,헌책방 기담 수집가,윤성근 (지은이) , 프시케의숲 ,2021-12-01,10500,4.5,에세이,에세이/산문,2023-02-23
  91    ,무라카미 하루키 잡문집,"무라카미 하루키 (지은이), 이영미 (옮긴이) ", 비채 ,2016-11-01,8910,4.0,에세이,에세이/산문,2023-02-23
  92    ,퇴근길의 마음,이다혜 (지은이) , 빅피시 ,2022-09-01,11550,4.5,에세이,에세이/산문,2023-02-23
  93    ,책은 도끼다,박웅현 (지은이) , 북하우스 ,2012-04-01,12000,4.5,에세이,에세이/산문,2023-02-23
  94    ,이웃집 퀴어 이반지하,이반지하 (지은이) , 문학동네 ,2021-08-01,12300,5.0,에세이,에세이/산문,2023-02-23
  95    ,욕구들,"캐럴라인 냅 (지은이), 정지인 (옮긴이) ", 북하우스 ,2021-06-01,12600,5.0,에세이,에세이/산문,2023-02-23
  96    ,우아하고 호쾌한 여자 축구,김혼비 (지은이) , 민음사 ,2018-06-01,10360,0.0,에세이,에세이/산문,2023-02-23
  97    ,고요함의 지혜,"에크하르트 톨레 (지은이), 진우기 (옮긴이) ", 김영사 ,2017-06-01,5400,4.5,에세이,에세이/산문,2023-02-23
  98    ,나는 오늘 나에게 ADHD라는 이름을 주었다,신지수 (지은이) , 휴머니스트 ,2021-07-01,11200,4.0,에세이,에세이/산문,2023-02-23
  99    ,불안의 서,"페르난두 페소아 (지은이), 배수아 (옮긴이) ", 봄날의책 ,2014-03-01,19600,0.0,에세이,에세이/산문,2023-02-23
  100    ,묘사하는 마음,김혜리 (지은이) , 마음산책 ,2022-08-01,12600,4.5,에세이,에세이/산문,2023-02-23
  1    ,심판,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 ,2020-08-01,10000,4.5,예술/대중문화,문화/예술,2023-02-23
  2    ,생생하게 살아 있는 캐릭터 만드는 법,"키라앤 펠리컨 (지은이), 정미화 (옮긴이) ", 아날로그(글담) ,2023-01-01,12600,5.0,예술/대중문화,문화/예술,2023-02-23
  3    ,딜레마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 오수원 (옮긴이) ", 윌북 ,2022-08-01,15400,4.5,예술/대중문화,문화/예술,2023-02-23
  4    ,나는 좌절의 스페셜리스트입니다,백혜선 (지은이) , 다산북스 ,2023-01-01,10530,5.0,예술/대중문화,문화/예술,2023-02-23
  5    ,혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아) (지은이) , 한빛미디어 ,2022-06-01,15840,5.0,예술/대중문화,문화/예술,2023-02-23
  6    ,일 잘하는 디자이너,"시부야 료이치(파치파치 디자인) (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 ,2023-02-01,11000,5.0,예술/대중문화,문화/예술,2023-02-23
  7    ,햄릿 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 ,2013-06-01,990,5.0,예술/대중문화,문화/예술,2023-02-23
  8    ,[합본] 나의 해방일지 일반판,박해영 (지은이) , 오브제 ,2023-02-01,39600,4.5,예술/대중문화,문화/예술,2023-02-23
  9    ,한경아르떼 합스부르크 600년 매혹의 걸작들 100배 즐기기,한경arte 특별취재팀 (지은이) , 한국경제신문 ,2022-12-01,10400,5.0,예술/대중문화,문화/예술,2023-02-23
  10    ,헤어질 결심 각본,"박찬욱, 정서경 (지은이) ", 을유문화사 ,2022-08-01,10500,5.0,예술/대중문화,문화/예술,2023-02-23
  11    ,스토리텔링 바이블,"대니얼 조슈아 루빈 (지은이), 이한이 (옮긴이) ", 블랙피쉬 ,2020-12-01,16100,5.0,예술/대중문화,문화/예술,2023-02-23
  12    ,오셀로 (한글판 + 영문판),"윌리엄 셰익스피어 (지은이), 김민애 (옮긴이) ", 더클래식 ,2015-01-01,990,0.0,예술/대중문화,문화/예술,2023-02-23
  13    ,한계선을 넘다,크래프톤 (지은이) , 황금가지 ,2022-11-01,18000,5.0,예술/대중문화,문화/예술,2023-02-23
  14    ,문학이 필요한 시간,"정여울 (지은이), 이승원 (사진) ", 한겨레출판 ,2023-01-01,12800,5.0,예술/대중문화,문화/예술,2023-02-23
  15    ,문제적 캐릭터 심리 사전,"한민, 박성미, 유지현 (지은이) ", 시크릿하우스 ,2022-10-01,12600,5.0,예술/대중문화,문화/예술,2023-02-23
  16    ,캐릭터 직업 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 최세민 (옮긴이) ", 윌북 ,2021-10-01,15400,4.5,예술/대중문화,문화/예술,2023-02-23
  17    ,모국어는 차라리 침묵,목정원 (지은이) , 아침달 ,2022-06-01,13000,4.5,예술/대중문화,문화/예술,2023-02-23
  18    ,빌런의 공식,"사샤 블랙 (지은이), 정지현 (옮긴이) ", 윌북 ,2022-10-01,11900,5.0,예술/대중문화,문화/예술,2023-02-23
  19    ,STORY 시나리오 어떻게 쓸 것인가,"로버트 맥키 (지은이), 고영범, 이승민 (옮긴이) ", 민음인 ,2019-02-01,17500,4.5,예술/대중문화,문화/예술,2023-02-23
  20    ,퓰리처 글쓰기 수업,"잭 하트 (지은이), 정세라 (옮긴이) ", 현대지성 ,2021-11-01,15000,5.0,예술/대중문화,문화/예술,2023-02-23
  21    ,기이한 것과 으스스한 것,"마크 피셔 (지은이), 안현주 (옮긴이) ", 구픽 ,2019-08-01,9100,0.0,예술/대중문화,문화/예술,2023-02-23
  22    ,된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) ,2022-01-01,12000,5.0,예술/대중문화,문화/예술,2023-02-23
  23    ,첫눈에 반하는 로맨스 웹툰,김달님 (지은이) , 므큐 ,2022-08-01,13860,5.0,예술/대중문화,문화/예술,2023-02-23
  24    ,"내 손 안의 미술관, 가츠시카 호쿠사이",김정일 (지은이) , 피치플럼 ,2019-05-01,2000,4.0,예술/대중문화,문화/예술,2023-02-23
  25    ,영화식 만화 만들기,"오쓰카 에이지 (지은이), 선정우 (옮긴이) ", 북바이북 ,2023-02-01,12600,4.5,예술/대중문화,문화/예술,2023-02-23
  26    ,아르헤리치의 말,"마르타 아르헤리치, 올리비에 벨라미 (지은이), 이세진 (옮긴이) ", 마음산책 ,2023-02-01,12600,5.0,예술/대중문화,문화/예술,2023-02-23
  27    ,꽃의 유혹,홍순희 (지은이) , e퍼플 ,2023-02-01,5000,0.0,예술/대중문화,문화/예술,2023-02-23
  28    ,도시는 무엇으로 사는가,유현준 (지은이) , 을유문화사 ,2015-05-01,9000,4.5,예술/대중문화,문화/예술,2023-02-23
  29    ,정확한 사랑의 실험,신형철 (지은이) , 마음산책 ,2014-10-01,9100,4.5,예술/대중문화,문화/예술,2023-02-23
  30    ,바냐 아저씨 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 ,2014-06-01,990,5.0,예술/대중문화,문화/예술,2023-02-23
  31    ,묘사하는 마음,김혜리 (지은이) , 마음산책 ,2022-08-01,12600,4.5,예술/대중문화,문화/예술,2023-02-23
  32    ,현대미술은 처음인데요 : 큐레이터가 들려주는 친절한 미술이야기,"제시카 체라시, 안휘경 (지은이), 조경실 (옮긴이) ", 행성B(행성비) ,2017-08-01,9000,4.5,예술/대중문화,문화/예술,2023-02-23
  33    ,손에 땀을 쥐게 하는 이야기 쓰는 법,"조단 E. 로젠펠드 (지은이), 정미화 (옮긴이) ", 아날로그(글담) ,2022-04-01,14000,5.0,예술/대중문화,문화/예술,2023-02-23
  34    ,앤드류 루미스의 인체 드로잉,앤드류 루미스 (지은이) , 아르드 ,2020-03-01,7800,0.0,예술/대중문화,문화/예술,2023-02-23
  35    ,일러스트로 배우는 채색 테크닉,"무라 카루키 (지은이), 김재훈 (옮긴이) ", AK(에이케이)커뮤니케이션즈 ,2022-06-01,16560,5.0,예술/대중문화,문화/예술,2023-02-23
  36    ,아이패드 드로잉&페인팅 with 프로크리에이트,"3D토털 퍼블리싱 (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) ,2020-09-01,14000,4.5,예술/대중문화,문화/예술,2023-02-23
  37    ,[세트] 디테일 사전 (총2권),"안젤라 애커만, 베카 푸글리시 (지은이), 최세희 (옮긴이) ", 윌북 ,2021-05-01,30800,4.0,예술/대중문화,문화/예술,2023-02-23
  38    ,나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) ,2021-06-01,9900,5.0,예술/대중문화,문화/예술,2023-02-23
  39    ,픽셀아트 배경 그리는 법,"APO+, MOTOCROSS SAITO, SETAMO (지은이) ", AK(에이케이)커뮤니케이션즈 ,2021-12-01,22400,5.0,예술/대중문화,문화/예술,2023-02-23
  40    ,DIALOGUE 시나리오 어떻게 쓸 것인가 2,"로버트 맥키 (지은이), 고영범, 이승민 (옮긴이) ", 민음인 ,2019-02-01,16100,5.0,예술/대중문화,문화/예술,2023-02-23
  41    ,닫힌 방.악마와 선한 신,"장 폴 사르트르 (지은이), 지영래 (옮긴이) ", 민음사 ,2022-07-01,8400,4.5,예술/대중문화,문화/예술,2023-02-23
  42    ,"내 손 안의 미술관, 클로드 모네",김정일 (지은이) , 피치플럼 ,2019-07-01,3000,0.0,예술/대중문화,문화/예술,2023-02-23
  43    ,난장이가 쏘아올린 작은 공,홍파 (지은이) , 오늘부터출판사 ,2022-07-01,4050,0.0,예술/대중문화,문화/예술,2023-02-23
  44    ,피아노 이야기,"러셀 셔먼 (지은이), 김용주 (옮긴이) ", 은행나무 ,2021-05-01,10500,5.0,예술/대중문화,문화/예술,2023-02-23
  45    ,연기하지 않는 연기,"해럴드 거스킨 (지은이), 이은주 (옮긴이) ", (주)도레미엔터테인먼트 ,2021-06-01,14400,5.0,예술/대중문화,문화/예술,2023-02-23
  46    ,아이패드로 그리는 움직이는 이모티콘 만들기 with 프로크리에이트,김소희(소콘소콘) (지은이) , 길벗 ,2021-10-01,14000,0.0,예술/대중문화,문화/예술,2023-02-23
  47    ,메이커스 랩,"론 M. 버크먼 (지은이), 신동숙 (옮긴이) ", 윌북 ,2022-04-01,11900,5.0,예술/대중문화,문화/예술,2023-02-23
  48    ,자신 있어! 아이패드 갤럭시 탭 드로잉,이솔기 (지은이) , 중앙books(중앙북스) ,2021-05-01,13600,5.0,예술/대중문화,문화/예술,2023-02-23
  49    ,아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) ,2022-04-01,14000,5.0,예술/대중문화,문화/예술,2023-02-23
  50    ,"내 손 안의 미술관, 렘브란트",김정일 (지은이) , 피치플럼 ,2020-03-01,2000,0.0,예술/대중문화,문화/예술,2023-02-23
  51    ,1일 1클래식 1포옹,"클레먼시 버턴힐 (지은이), 이석호 (옮긴이) ", 윌북 ,2023-01-01,13900,5.0,예술/대중문화,문화/예술,2023-02-23
